"q5","q25","q50","q75","q95","id","baseweek","start","end","q95old","window","basedate","startdate","enddate"
1,2,4,6,11,"11","2010W15","2009W16","2010W15",11,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,1,2,5,"12","2010W15","2009W16","2010W15",5,"trainning",2010-04-11,2009-04-19,2010-04-11
1,3,5,9,23,"13","2010W15","2009W16","2010W15",23,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,2,5,8,"14","2010W15","2009W16","2010W15",8,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,0,1,2,"15","2010W15","2009W16","2010W15",2,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,1,2,"16","2010W15","2009W16","2010W15",2,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,2,6,"17","2010W15","2009W16","2010W15",6,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,2,3,5,"21","2010W15","2009W16","2010W15",5,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,1,3,"22","2010W15","2009W16","2010W15",3,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,2,4,"23","2010W15","2009W16","2010W15",4,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,2,4,13,"24","2010W15","2009W16","2010W15",13,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,1,3,"25","2010W15","2009W16","2010W15",3,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,2,3,6,"26","2010W15","2009W16","2010W15",6,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,0,0,2,"27","2010W15","2009W16","2010W15",2,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,0,1,2,"28","2010W15","2009W16","2010W15",2,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,2,4,9,"29","2010W15","2009W16","2010W15",9,"trainning",2010-04-11,2009-04-19,2010-04-11
0,2,3,8,16,"31","2010W15","2009W16","2010W15",16,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,1,2,10,"32","2010W15","2009W16","2010W15",10,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,3,9,"33","2010W15","2009W16","2010W15",9,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,0,1,4,"35","2010W15","2009W16","2010W15",4,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,2,10,"41","2010W15","2009W16","2010W15",10,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,1,2,10,"42","2010W15","2009W16","2010W15",10,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,2,10,"43","2010W15","2009W16","2010W15",10,"trainning",2010-04-11,2009-04-19,2010-04-11
0,0,1,2,4,"50","2010W15","2009W16","2010W15",4,"trainning",2010-04-11,2009-04-19,2010-04-11
1,1,2,6,23,"51","2010W15","2009W16","2010W15",23,"trainning",2010-04-11,2009-04-19,2010-04-11
0,2,6,11,19,"52","2010W15","2009W16","2010W15",19,"trainning",2010-04-11,2009-04-19,2010-04-11
0,1,1,2,6,"53","2010W15","2009W16","2010W15",6,"trainning",2010-04-11,2009-04-19,2010-04-11
3,3,3,3,3,"11","2010W15","2009W41","2009W45",11,"4",2010-04-11,2009-10-11,2009-11-08
1,2,3,3,5,"11","2010W15","2009W37","2009W45",11,"8",2010-04-11,2009-09-13,2009-11-08
